Stadium_ID,Stadium_Name,Round,Location, Attendance ,Match_ID
A1,Al Bayt Stadium,Group Stage,Al Khor," 67,372 ",1
A2,Al Bayt Stadium,Group Stage,Al Khor," 59,407 ",12
A3,Al Bayt Stadium,Group Stage,Al Khor," 68,463 ",20
A4,Al Bayt Stadium,Group Stage,Al Khor," 68,895 ",28
A5,Al Bayt Stadium,Group Stage,Al Khor," 66,784 ",36
A6,Al Bayt Stadium,Group Stage,Al Khor," 67,054 ",44
A7,Al Bayt Stadium,Round of 16,Al Khor," 65,985 ",51
A8,Al Bayt Stadium,Quarter Final,Al Khor," 68,895 ",59
A9,Al Bayt Stadium,Semi-Final,Al Khor," 68,294 ",62
B1,Khalifa International Stadium,Group Stage,Doha," 45,334 ",3
B2,Khalifa International Stadium,Group Stage,Doha," 42,608 ",11
B3,Khalifa International Stadium,Group Stage,Doha," 44,833 ",19
B4,Khalifa International Stadium,Group Stage,Doha," 44,374 ",27
B5,Khalifa International Stadium,Group Stage,Doha," 44,569 ",35
B6,Khalifa International Stadium,Group Stage,Doha," 44,851 ",43
B7,Khalifa International Stadium,Round of 16,Doha," 44,846 ",49
B8,Khalifa International Stadium,3rd Place Playoff,Doha," 44,137 ",63
C1,Al Thumama Stadium,Group Stage,Al Thumama," 41,721 ",2
C2,Al Thumama Stadium,Group Stage,Al Thumama," 40,013 ",10
C3,Al Thumama Stadium,Group Stage,Al Thumama," 41,797 ",18
C4,Al Thumama Stadium,Group Stage,Al Thumama," 43,738 ",26
C5,Al Thumama Stadium,Group Stage,Al Thumama," 42,127 ",34
C6,Al Thumama Stadium,Group Stage,Al Thumama," 43,102 ",42
C7,Al Thumama Stadium,Round of 16,Al Thumama," 40,989 ",52
C8,Al Thumama Stadium,Quarter Final,Al Thumama," 44,198 ",60
D1,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 43,418 ",4
D2,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 40,432 ",9
D3,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 40,875 ",17
D4,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 41,479 ",25
D5,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 44,297 ",33
D6,Ahmad Bin Ali Stadium,Group Stage,Al Rayyan," 43,984 ",41
D7,Ahmad Bin Ali Stadium,Round of 16,Al Rayyan," 45,032 ",50
E1,Lusail Stadium,Group Stage,Lusail," 88,012 ",8
E2,Lusail Stadium,Group Stage,Lusail," 88,103 ",16
E3,Lusail Stadium,Group Stage,Lusail," 88,966 ",24
E4,Lusail Stadium,Group Stage,Lusail," 88,668 ",32
E5,Lusail Stadium,Group Stage,Lusail," 84,985 ",40
E6,Lusail Stadium,Group Stage,Lusail," 85,986 ",48
E7,Lusail Stadium,Round of 16,Lusail," 83,720 ",56
E8,Lusail Stadium,Quarter Final,Lusail," 88,235 ",57
E9,Lusail Stadium,Semi-Final,Lusail," 88,966 ",61
E10,Lusail Stadium,Final,Lusail," 88,966 ",64
F1,Stadium 974,Group Stage,Ras Abu Aboud," 39,369 ",7
F2,Stadium 974,Group Stage,Ras Abu Aboud," 42,662 ",15
F3,Stadium 974,Group Stage,Ras Abu Aboud," 42,860 ",23
F4,Stadium 974,Group Stage,Ras Abu Aboud," 43,649 ",31
F5,Stadium 974,Group Stage,Ras Abu Aboud," 44,089 ",39
F6,Stadium 974,Group Stage,Ras Abu Aboud," 41,378 ",47
F7,Stadium 974,Round of 16,Ras Abu Aboud," 43,847 ",54
G1,Education City Stadium,Group Stage,Al Rayyan," 42,925 ",6
G2,Education City Stadium,Group Stage,Al Rayyan," 41,663 ",14
G3,Education City Stadium,Group Stage,Al Rayyan," 44,259 ",22
G4,Education City Stadium,Group Stage,Al Rayyan," 43,983 ",30
G5,Education City Stadium,Group Stage,Al Rayyan," 43,627 ",38
G6,Education City Stadium,Group Stage,Al Rayyan," 44,097 ",46
G7,Education City Stadium,Round of 16,Al Rayyan," 44,667 ",55
G8,Education City Stadium,Quarter Final,Al Rayyan," 43,893 ",58
H1,Al Janoub Stadium,Group Stage,Al Wakrah," 40,875 ",5
H2,Al Janoub Stadium,Group Stage,Al Wakrah," 39,089 ",13
H3,Al Janoub Stadium,Group Stage,Al Wakrah," 41,823 ",21
H4,Al Janoub Stadium,Group Stage,Al Wakrah," 39,789 ",29
H5,Al Janoub Stadium,Group Stage,Al Wakrah," 41,232 ",37
H6,Al Janoub Stadium,Group Stage,Al Wakrah," 43,443 ",45
H7,Al Janoub Stadium,Round of 16,Al Wakrah," 42,523 ",53
