Team_ID,Team_Name,Wins,Losses,Draws,Goals_Scored,Goals_Conceded,Clean_Sheets,Yellow_Cards,Red_Cards,Highest_Finish,Group_ID
1,Qatar,0,3,0,1,7,0,7,0,Group Stage,A1
2,Ecuador,1,1,1,4,3,1,3,0,Group Stage,A2
3,Senegal,2,2,0,5,7,0,7,0,Round of 16,A3
4,Netherlands,3,1,1,10,4,2,10,1,Quarter Final,A4
5,England,3,1,1,13,4,3,1,0,Quarter Final,B1
6,Iran,1,2,0,4,7,1,7,0,Group Stage,B2
7,United States,1,1,2,3,4,2,5,0,Round of 16,B3
8,Wales,0,2,1,1,6,0,5,1,Group Stage,B4
9,Argentina,6,1,0,15,8,3,17,0,CHAMPIONS,C1
10,Saudi Arabia,1,2,0,3,5,0,14,0,Group Stage,C2
11,Mexico,1,1,1,2,3,1,7,0,Group Stage,C3
12,Poland,1,2,1,3,5,2,7,0,Round of 16,C4
13,France,5,2,0,16,8,1,8,0,Final,D1
14,Australia,2,2,0,4,6,2,7,0,Round of 16,D2
15,Denmark,0,2,1,1,3,1,5,0,Group Stage,D3
16,Tunisia,1,1,1,1,1,2,5,0,Group Stage,D4
17,Spain,1,2,1,9,3,2,2,0,Round of 16,E1
18,Costa Rica,1,2,0,3,11,1,6,0,Group Stage,E2
19,Germany,1,1,1,6,5,0,3,0,Group Stage,E3
20,Japan,2,2,0,5,4,0,6,0,Round of 16,E4
21,Belgium,1,1,1,1,2,2,5,0,Group Stage,F1
22,Canada,0,3,0,2,7,0,8,0,Group Stage,F2
23,Morocco,4,2,1,6,5,4,7,1,Semi Final,F3
24,Croatia,4,1,2,8,7,2,8,0,Semi Final,F4
25,Brazil,3,2,0,8,3,2,6,0,Quarter Final,G1
26,Serbia,0,2,1,5,8,0,12,0,Group Stage,G2
27,Switzerland,2,2,0,5,9,1,9,0,Round of 16,G3
28,Cameroon,1,1,1,4,4,1,6,1,Group Stage,G4
29,Portugal,3,2,0,12,6,1,6,0,Quarter Final,H1
30,Ghana,1,2,0,5,7,0,8,0,Group Stage,H2
31,Uruguay,1,1,1,2,2,2,8,0,Group Stage,H3
32,South Korea,1,2,1,5,8,1,6,0,Round of 16,H4
